Year,Pell Grants,SEOG,Veterans and Military,Perkins Loans,Subsidized Stafford Loans,Unsubsidized Stafford Loans,ParentPLUS  Loans,GradPLUS Loans,Federal Work-Study,Education Tax Benefits,State Grants,Institutional Grants,Private and Employer Grants
1973.00,277.40,1225.85,13648.56,2523.99,5813.40,0.00,0.00,0.00,1575.02,0.00,2121.12,5887.37,0.00
1974.00,1881.25,1104.02,18099.52,2309.88,5966.46,0.00,0.00,0.00,1415.85,0.00,2312.80,5352.61,0.00
1975.00,4454.62,1155.99,20573.95,2212.88,5336.83,0.00,0.00,0.00,2017.09,0.00,2447.35,5628.42,0.00
1976.00,6711.09,1092.07,14091.52,2544.84,5277.07,0.00,0.00,0.00,1770.74,0.00,2955.94,5458.23,0.00
1977.00,6510.16,1068.10,11977.42,2625.98,6495.56,0.00,0.00,0.00,1662.63,0.00,3140.95,5253.09,0.00
1978.00,6116.57,1071.62,9101.07,2542.06,8202.64,0.00,0.00,0.00,1721.97,0.00,3124.99,5080.95,0.00
1979.00,8403.24,1206.43,8352.68,2320.04,12254.70,0.00,0.00,0.00,1950.08,0.00,3074.35,5203.46,0.00
1980.00,7497.72,1158.40,6014.46,2178.28,17051.60,0.00,6.30,0.00,1720.35,0.00,2738.14,5088.27,0.00
1981.00,6547.77,1044.90,4506.11,1651.91,17824.75,0.00,132.21,0.00,1554.57,0.00,2836.75,4982.61,0.00
1982.00,6491.78,944.04,4349.69,1600.71,15257.61,0.00,274.34,0.00,1405.12,0.00,2942.10,5255.73,0.00
1983.00,7268.16,917.27,2876.29,1772.25,16518.52,0.00,375.47,0.00,1517.64,0.00,3077.54,5923.47,0.00
1984.00,7604.91,933.11,2459.72,1686.92,17761.65,0.00,521.28,0.00,1378.64,0.00,3362.03,6376.86,0.00
1985.00,8652.80,989.71,2119.11,1690.93,17539.62,0.00,501.52,0.00,1420.09,0.00,3486.56,7119.71,0.00
1986.00,8170.51,928.02,2059.66,1802.88,17224.16,0.00,512.10,0.00,1331.74,0.00,3735.98,7957.97,0.00
1987.00,8553.36,938.64,2052.68,1834.44,18191.00,0.00,855.92,0.00,1346.32,0.00,3692.70,8680.19,0.00
1988.00,9791.70,893.51,1889.14,1911.50,17851.78,0.00,1226.53,0.00,1286.94,0.00,3751.40,8707.25,1530.00
1989.00,9972.25,912.10,1477.82,1883.73,17376.19,0.00,1453.67,0.00,1271.09,0.00,3874.41,10331.57,2570.00
1990.00,9772.62,906.92,1347.26,1723.56,17341.75,0.00,1632.25,0.00,1190.09,0.00,3819.92,12138.57,4000.00
1991.00,11007.45,987.44,1625.50,1649.02,17978.30,0.00,1908.17,0.00,1129.68,0.00,3788.95,13472.61,4600.00
1992.00,11392.67,1069.11,1734.71,1644.88,17665.65,506.73,2032.99,0.00,1134.11,0.00,4072.42,14628.45,5180.00
1993.00,10127.58,1044.71,1866.48,1645.39,22202.47,3093.18,2356.50,0.00,1104.21,0.00,4479.98,15851.05,5050.00
1994.00,9639.01,1017.37,1787.85,1695.64,23802.96,10878.94,2767.20,0.00,1075.39,0.00,4994.18,16887.33,4940.00
1995.00,9292.25,990.04,1732.72,1747.48,25533.78,13157.54,3506.61,0.00,1044.28,0.00,4948.12,17729.57,4820.00
1996.00,9534.33,961.91,1657.56,1685.32,26366.28,15071.18,3896.67,0.00,1014.40,0.00,5098.27,18887.10,5480.00
1997.00,10209.07,940.43,1634.90,1712.51,25991.58,16406.64,4317.65,0.00,1313.63,2560.00,5465.24,20285.62,6270.00
